PICKUP_POSTCODE,No_Jobs,No_trips,total_trips,Latitude,Longitude
049031,6,0,6,1.286487,103.848635
049032,19,34,53,1.28645,103.848618
049033,4,0,4,1.286463,103.848622
049034,23,37,60,1.286481,103.848631
049035,18,93,111,1.28657,103.848681
049036,7,263,270,1.286622,103.848732
049037,1065,605,1670,1.286632,103.848737
049086,1,106,107,1.28488,103.847012
049087,0,62,62,1.284848,103.847069
049088,0,46,46,1.284833,103.847102
049090,0,2,2,1.284742,103.847226
049091,1,12,13,1.284718,103.847297
049092,0,2,2,1.284702,103.84733
049093,0,1,1,1.284679,103.84736
049094,2,0,2,1.284639,103.847424
049096,0,1,1,1.284596,103.847505
049097,1,1,2,1.284553,103.847565
049098,1,1,2,1.28454,103.847593
049099,0,3,3,1.284508,103.84763
049100,3,11,14,1.284489,103.847665
049101,1,17,18,1.284474,103.847695
049102,1,2,3,1.284438,103.847743
049103,1,12,13,1.284414,103.84778
049104,3,4,7,1.284386,103.847826
049105,1,4,5,1.28437,103.847865
049106,1,2,3,1.28434,103.847912
049107,0,2,2,1.284325,103.847937
049108,1,9,10,1.284309,103.847976
049142,59,3139,3198,1.285086,103.848063
049144,45,980,1025,1.285863,103.84815
049145,9437,11355,20792,1.28566,103.847861
049178,9049,41326,50375,1.28633,103.852932
049213,2853,51981,54834,1.285655,103.853889
049215,453,2312,2765,1.287158,103.853587
049246,86,5076,5162,1.282497,103.851439
049247,3485,13675,17160,1.282357,103.851686
049315,20416,6857,27273,1.283028,103.852016
049317,165,3369,3534,1.283529,103.852003
049318,20799,62250,83049,1.284184,103.852536
049319,627,9869,10496,1.284544,103.852803
049320,810,5973,6783,1.28512,103.85288
049321,8012,2746,10758,1.283026,103.852791
049322,2114,10592,12706,1.282939,103.852912
049323,344,7764,8108,1.283966,103.853581
049324,103,3541,3644,1.282863,103.852687
049325,75,9101,9176,1.283079,103.85282
049326,11161,49226,60387,1.282531,103.853582
049327,814,5526,6340,1.28458,103.853953
049357,75,66,141,1.28807,103.848859
049358,94,27,121,1.288041,103.848869
049359,8,6,14,1.288016,103.848881
049360,2,3,5,1.28799,103.848886
049361,3,1,4,1.287974,103.84889
049362,15,1,16,1.287957,103.848892
049363,53,68,121,1.287902,103.848904
049364,13,201,214,1.287867,103.848915
049365,44,250,294,1.287837,103.848916
049366,26,162,188,1.287784,103.848917
049367,5,104,109,1.287755,103.848918
049368,25,220,245,1.287707,103.848918
049369,27,240,267,1.287675,103.848915
049370,52,291,343,1.287598,103.848922
049371,16,261,277,1.287558,103.848918
049372,14,256,270,1.28753,103.848912
049373,10,330,340,1.28747,103.848913
049374,33,1209,1242,1.287417,103.848917
049376,184,1745,1929,1.287299,103.848924
049377,35,3,38,1.287316,103.848925
049378,53,1230,1283,1.287194,103.848929
049379,61,951,1012,1.287153,103.848939
049380,19,956,975,1.287124,103.848944
049381,45,1052,1097,1.287072,103.848959
049382,183,862,1045,1.287028,103.84897
049383,25,604,629,1.286975,103.84899
049384,43,489,532,1.286899,103.849014
049385,55,445,500,1.286878,103.849021
049386,21,406,427,1.286817,103.849046
049387,49,495,544,1.286775,103.849055
049388,6,610,616,1.286726,103.849078
049389,25,598,623,1.286645,103.849098
049390,21,601,622,1.286603,103.849109
049391,20,629,649,1.286571,103.849132
049392,41,732,773,1.286534,103.84916
049393,8,558,566,1.286499,103.84918
049394,24,446,470,1.286454,103.849205
049395,29,469,498,1.28642,103.849226
049396,6,260,266,1.286385,103.849242
049397,16,2310,2326,1.286362,103.849262
049398,169,5810,5979,1.286315,103.849289
049399,35,4798,4833,1.286166,103.849361
049400,25,536,561,1.28612,103.849392
049401,46,289,335,1.286087,103.849426
049402,10,343,353,1.286047,103.84945
049403,41,859,900,1.285987,103.849481
049404,11,1765,1776,1.285943,103.849503
049405,55,2835,2890,1.28588,103.849533
049406,255,6865,7120,1.285835,103.849567
049407,709,10213,10922,1.285718,103.849641
049410,2276,3664,5940,1.2858845,103.849501
049411,1839,3525,5364,1.286051,103.849361
049412,24,296,320,1.286025,103.849254
049413,281,1408,1689,1.286125,103.849321
049415,50,788,838,1.286217,103.849268
049416,26,360,386,1.286243,103.849262
049417,29,294,323,1.286302,103.849216
049418,13,257,270,1.286331,103.849203
049419,17,331,348,1.286357,103.849183
049420,21,275,296,1.286382,103.849172
049421,10,271,281,1.2864,103.849162
049422,13,264,277,1.286383,103.849215
049423,97,355,452,1.286476,103.849119
049426,37,734,771,1.286585,103.849045
049427,4,387,391,1.286609,103.84904
049428,25,382,407,1.286646,103.849034
049429,2,362,364,1.286732,103.849019
049430,24,335,359,1.286727,103.849004
049431,12,294,306,1.286749,103.848998
049432,10,344,354,1.286885,103.849066
049433,254,3158,3412,1.286877,103.848958
049434,34,633,667,1.287293,103.848886
049435,16,508,524,1.287334,103.848886
049436,31,638,669,1.287407,103.848884
049437,20,464,484,1.287438,103.848885
049438,71,600,671,1.287495,103.848881
049439,41,1257,1298,1.287672,103.84888
